schema_version,map,starting_players_total,lobby_capacity,observed_from_start,wave_1_time_left,wave_1_players_at_roll,wave_1_disasters,wave_1_players_after,wave_1_deaths,wave_1_survival_fraction,wave_1_mortality_fraction,wave_2_time_left,wave_2_players_at_roll,wave_2_disasters,wave_2_players_after,wave_2_deaths,wave_2_survival_fraction,wave_2_mortality_fraction,wave_3_time_left,wave_3_players_at_roll,wave_3_disasters,wave_3_players_after,wave_3_deaths,wave_3_survival_fraction,wave_3_mortality_fraction,wave_count,end_players_total,total_deaths,end_survival_fraction,disaster_count,all_disasters,recorder_moving,player_count_basis,recorder_alive_at_game_start,game_start_players_model,before_wave_1_losses_total_raw,before_wave_1_losses_model,recorder_alive_wave_1_roll,wave_1_players_at_roll_model,wave_1_players_after_model,recorder_alive_wave_2_roll,wave_2_players_at_roll_model,wave_2_players_after_model,recorder_alive_wave_3_roll,wave_3_players_at_roll_model,wave_3_players_after_model,recorder_alive_end,end_players_model,total_deaths_model,end_survival_fraction_model,prediction_model,percentage_based_averages,wave_specific,prediction_wave_1_end_players,prediction_wave_2_end_players,prediction_wave_3_end_players,ticket_to_ride_loss,complete_game,disaster_chat_deaths,fall,void,misc,wave_1_fall,wave_1_void,wave_1_misc,wave_2_fall,wave_2_void,wave_2_misc,wave_3_fall,wave_3_void,wave_3_misc,wave_1_active_disasters,wave_1_deaths_acid_rain,wave_1_deaths_anvil_rain,wave_1_deaths_bat_swarm,wave_1_deaths_blackout,wave_1_deaths_disco,wave_1_deaths_dragons,wave_1_deaths_flood,wave_1_deaths_fragile_ground,wave_1_deaths_grounded,wave_1_deaths_half_health,wave_1_deaths_hot_potato,wave_1_deaths_hypixel_says,wave_1_deaths_lightning,wave_1_deaths_meteor_shower,wave_1_deaths_nuke,wave_1_deaths_purge,wave_1_deaths_red_light_green_light,wave_1_deaths_sinkhole,wave_1_deaths_solar_flare,wave_1_deaths_stampede,wave_1_deaths_swappage,wave_1_deaths_the_floor_is_lava,wave_1_deaths_tnt_rain,wave_1_deaths_tornado,wave_1_deaths_werewolf,wave_1_deaths_withers,wave_1_deaths_zombie_apocalypse,wave_2_active_disasters,wave_2_deaths_acid_rain,wave_2_deaths_anvil_rain,wave_2_deaths_bat_swarm,wave_2_deaths_blackout,wave_2_deaths_disco,wave_2_deaths_dragons,wave_2_deaths_flood,wave_2_deaths_fragile_ground,wave_2_deaths_grounded,wave_2_deaths_half_health,wave_2_deaths_hot_potato,wave_2_deaths_hypixel_says,wave_2_deaths_lightning,wave_2_deaths_meteor_shower,wave_2_deaths_nuke,wave_2_deaths_purge,wave_2_deaths_red_light_green_light,wave_2_deaths_sinkhole,wave_2_deaths_solar_flare,wave_2_deaths_stampede,wave_2_deaths_swappage,wave_2_deaths_the_floor_is_lava,wave_2_deaths_tnt_rain,wave_2_deaths_tornado,wave_2_deaths_werewolf,wave_2_deaths_withers,wave_2_deaths_zombie_apocalypse,wave_3_active_disasters,wave_3_deaths_acid_rain,wave_3_deaths_anvil_rain,wave_3_deaths_bat_swarm,wave_3_deaths_blackout,wave_3_deaths_disco,wave_3_deaths_dragons,wave_3_deaths_flood,wave_3_deaths_fragile_ground,wave_3_deaths_grounded,wave_3_deaths_half_health,wave_3_deaths_hot_potato,wave_3_deaths_hypixel_says,wave_3_deaths_lightning,wave_3_deaths_meteor_shower,wave_3_deaths_nuke,wave_3_deaths_purge,wave_3_deaths_red_light_green_light,wave_3_deaths_sinkhole,wave_3_deaths_solar_flare,wave_3_deaths_stampede,wave_3_deaths_swappage,wave_3_deaths_the_floor_is_lava,wave_3_deaths_tnt_rain,wave_3_deaths_tornado,wave_3_deaths_werewolf,wave_3_deaths_withers,wave_3_deaths_zombie_apocalypse,deaths_acid_rain,deaths_anvil_rain,deaths_bat_swarm,deaths_blackout,deaths_disco,deaths_dragons,deaths_flood,deaths_fragile_ground,deaths_grounded,deaths_half_health,deaths_hot_potato,deaths_hypixel_says,deaths_lightning,deaths_meteor_shower,deaths_nuke,deaths_purge,deaths_red_light_green_light,deaths_sinkhole,deaths_solar_flare,deaths_stampede,deaths_swappage,deaths_the_floor_is_lava,deaths_tnt_rain,deaths_tornado,deaths_werewolf,deaths_withers,deaths_zombie_apocalypse,game_start_total_health,wave_1_total_health,wave_2_total_health,wave_3_total_health,wave_1_player_01_health,wave_1_player_02_health,wave_1_player_03_health,wave_1_player_04_health,wave_1_player_05_health,wave_1_player_06_health,wave_1_player_07_health,wave_1_player_08_health,wave_1_player_09_health,wave_1_player_10_health,wave_1_player_11_health,wave_1_player_12_health,wave_1_player_13_health,wave_1_player_14_health,wave_1_player_15_health,wave_1_player_16_health,wave_2_player_01_health,wave_2_player_02_health,wave_2_player_03_health,wave_2_player_04_health,wave_2_player_05_health,wave_2_player_06_health,wave_2_player_07_health,wave_2_player_08_health,wave_2_player_09_health,wave_2_player_10_health,wave_2_player_11_health,wave_2_player_12_health,wave_2_player_13_health,wave_2_player_14_health,wave_2_player_15_health,wave_2_player_16_health,wave_3_player_01_health,wave_3_player_02_health,wave_3_player_03_health,wave_3_player_04_health,wave_3_player_05_health,wave_3_player_06_health,wave_3_player_07_health,wave_3_player_08_health,wave_3_player_09_health,wave_3_player_10_health,wave_3_player_11_health,wave_3_player_12_health,wave_3_player_13_health,wave_3_player_14_health,wave_3_player_15_health,wave_3_player_16_health
2,Gondola,15,16,true,223,15,"Meteor Shower | Red Light, Green Light",11,4,0.7333333333333333,0.26666666666666666,148,11,Flood,1,10,0.09090909090909091,0.9090909090909091,76,1,Zombie Apocalypse | Anvil Rain,0,1,0.0,1.0,3,0,15,0.0,5,"Meteor Shower | Red Light, Green Light | Flood | Zombie Apocalypse | Anvil Rain",false,excluding_recorder_when_alive,true,14,0,0,true,14,10,true,10,0,true,0,0,true,0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Arctic Lab,16,16,true,174,16,Flood,16,0,1.0,0.0,120,16,Lightning | Werewolf,10,6,0.625,0.375,54,10,Fragile Ground,4,6,0.4,0.6,3,4,12,0.25,4,Flood | Lightning | Werewolf | Fragile Ground,false,excluding_recorder_when_alive,true,15,0,0,true,15,15,true,15,9,true,9,3,true,3,12,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Library,14,16,true,207,14,Meteor Shower | Hypixel Says,13,1,0.9285714285714286,0.07142857142857142,136,13,Flood | Purge,5,8,0.38461538461538464,0.6153846153846154,74,5,Dragons,1,4,0.2,0.8,3,1,13,0.07142857142857142,5,Meteor Shower | Hypixel Says | Flood | Purge | Dragons,false,excluding_recorder_when_alive,true,13,0,0,true,13,12,true,12,4,true,4,0,true,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Paradise,16,16,true,198,16,TNT Rain | Swappage,12,4,0.75,0.25,145,12,Tornado,10,2,0.8333333333333334,0.16666666666666666,73,10,Fragile Ground | Nuke,5,5,0.5,0.5,3,5,11,0.3125,5,TNT Rain | Swappage | Tornado | Fragile Ground | Nuke,false,excluding_recorder_when_alive,true,15,0,0,true,15,11,true,11,9,true,9,4,true,4,11,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Melon Mall,16,16,true,225,16,Lightning,14,2,0.875,0.125,154,14,The Floor is Lava | Anvil Rain,6,8,0.42857142857142855,0.5714285714285714,75,6,Tornado,4,2,0.6666666666666666,0.3333333333333333,3,4,12,0.25,4,Lightning | The Floor is Lava | Anvil Rain | Tornado,false,excluding_recorder_when_alive,true,15,0,0,true,15,13,true,13,5,true,5,3,true,3,12,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Paradise,16,16,true,193,16,Withers | Nuke,14,2,0.875,0.125,135,14,Fragile Ground | Bat Swarm,5,9,0.35714285714285715,0.6428571428571429,76,5,Lightning | Disco,2,3,0.4,0.6,3,2,14,0.125,6,Withers | Nuke | Fragile Ground | Bat Swarm | Lightning | Disco,false,excluding_recorder_when_alive,true,15,0,0,true,15,13,true,13,4,true,4,1,true,1,14,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Castle,16,16,true,187,16,The Floor is Lava,9,7,0.5625,0.4375,124,9,Dragons | Anvil Rain,9,0,1.0,0.0,67,9,Lightning | Swappage,5,4,0.5555555555555556,0.4444444444444444,3,5,11,0.3125,5,The Floor is Lava | Dragons | Anvil Rain | Lightning | Swappage,false,excluding_recorder_when_alive,true,15,0,0,true,15,8,true,8,8,true,8,4,true,4,11,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cruise Ship,16,16,true,189,16,Sinkhole | Grounded,16,0,1.0,0.0,126,16,The Floor is Lava,13,3,0.8125,0.1875,55,13,Meteor Shower | Blackout,12,1,0.9230769230769231,0.07692307692307693,3,12,4,0.75,5,Sinkhole | Grounded | The Floor is Lava | Meteor Shower | Blackout,false,excluding_recorder_when_alive,true,15,0,0,true,15,15,true,15,12,true,12,11,true,11,4,0.7333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Library,15,16,true,206,15,Zombie Apocalypse,13,2,0.8666666666666667,0.13333333333333333,130,13,Withers | Anvil Rain,11,2,0.8461538461538461,0.15384615384615385,53,11,Tornado | Disco,5,6,0.45454545454545453,0.5454545454545454,3,5,10,0.3333333333333333,5,Zombie Apocalypse | Withers | Anvil Rain | Tornado | Disco,false,excluding_recorder_when_alive,true,14,0,0,true,14,12,true,12,10,true,10,4,true,4,10,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oil Rig,16,16,true,179,16,TNT Rain | Werewolf,10,6,0.625,0.375,128,10,Meteor Shower | Hot Potato,6,4,0.6,0.4,60,6,Acid Rain | Nuke,4,2,0.6666666666666666,0.3333333333333333,3,4,12,0.25,6,TNT Rain | Werewolf | Meteor Shower | Hot Potato | Acid Rain | Nuke,false,excluding_recorder_when_alive,true,15,0,0,true,15,9,true,9,5,true,5,3,true,3,12,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Castle,16,16,true,206,16,Dragons | Blackout,13,3,0.8125,0.1875,126,13,Acid Rain,12,1,0.9230769230769231,0.07692307692307693,58,12,"TNT Rain | Red Light, Green Light",8,4,0.6666666666666666,0.3333333333333333,3,8,8,0.5,5,"Dragons | Blackout | Acid Rain | TNT Rain | Red Light, Green Light",false,excluding_recorder_when_alive,true,15,0,0,true,15,12,true,12,11,true,11,7,true,7,8,0.4666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Cruise Ship,16,16,true,228,16,Withers | Nuke,12,4,0.75,0.25,150,12,The Floor is Lava,8,4,0.6666666666666666,0.3333333333333333,73,8,Acid Rain | Grounded,1,7,0.125,0.875,3,1,15,0.0625,5,Withers | Nuke | The Floor is Lava | Acid Rain | Grounded,false,excluding_recorder_when_alive,true,15,0,0,true,15,11,true,11,7,true,7,0,true,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
